track_name,track_id,track_uri,artist_name,album_name,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,popularity,release_date,genre
Mi Tierra,41LiGcvaTkXHyPjfsxKvWv,spotify:track:41LiGcvaTkXHyPjfsxKvWv,Gloria Estefan,Mi Tierra,spotify:album:2K2yvhTFeRBZdDboSQzFAJ,0.77,0.668,1,-6.942,0,0.0399,0.151,0.0,0.0838,0.94,99.16,spotify:track:41LiGcvaTkXHyPjfsxKvWv,278333,4,52,1993-06,Pop Latino
Lo Que Te Amo,2IqNbflEkshezwf3F814H8,spotify:track:2IqNbflEkshezwf3F814H8,Crecer German,Hombre Afortunado (Deluxe),spotify:album:0QVMOQ8NYtNcOSq6fR4osl,0.792,0.359,7,-5.328,1,0.0292,0.603,0.0,0.105,0.752,91.018,spotify:track:2IqNbflEkshezwf3F814H8,212720,4,59,2017-01,Música Mexicana
Je t'emmènerai,2Mv1tPuwMAHQHA2CalxQi5,spotify:track:2Mv1tPuwMAHQHA2CalxQi5,St Graal,Je t'emmènerai,spotify:album:3YhrhemEcuxGllGaet7vJB,0.495,0.55,0,-8.303,1,0.0594,0.00543,0.017,0.477,0.409,159.958,spotify:track:2Mv1tPuwMAHQHA2CalxQi5,175200,4,51,2024-03,French Pop
Stranger Things (feat. OneRepublic) - Alan Walker Remix,76c4KOymiPUkWEeIIc0DQr,spotify:track:76c4KOymiPUkWEeIIc0DQr,Kygo,Kids in Love (Remixes),spotify:album:7LbyVLGeEWZYOUKCecv3gI,0.659,0.741,0,-4.622,1,0.0283,0.147,0.0,0.217,0.728,106.941,spotify:track:76c4KOymiPUkWEeIIc0DQr,178413,4,56,2018-02,Dance
The Batman,1NkI8DtCnjcWVCVLF0gB71,spotify:track:1NkI8DtCnjcWVCVLF0gB71,Michael Giacchino,The Batman (Original Motion Picture Soundtrack),spotify:album:18nTX27XXEYARGmWMTgD19,0.209,0.152,10,-16.519,0,0.0324,0.5,0.903,0.103,0.0482,80.136,spotify:track:1NkI8DtCnjcWVCVLF0gB71,407533,4,54,2022-02,Soundtrack
Television Rules the Nation / Crescendolls,1E8S3CSv20KrKT0C1yAjkO,spotify:track:1E8S3CSv20KrKT0C1yAjkO,Daft Punk,Alive 2007,spotify:album:7u6zL7kqpgLPISZYXNTgYk,0.58,0.786,6,-9.979,1,0.0675,6.53e-05,0.207,0.461,0.558,126.004,spotify:track:1E8S3CSv20KrKT0C1yAjkO,290840,4,51,2007-11,Electronic
Waddup (feat. Polo G),74CHQ7MTUiRyPxaDpQlkab,spotify:track:74CHQ7MTUiRyPxaDpQlkab,PGF Nuk,Switch Music,spotify:album:3m5015yxQTaCo83w7AQwA7,0.706,0.637,1,-7.261,1,0.35,0.187,0.0,0.199,0.289,76.062,spotify:track:74CHQ7MTUiRyPxaDpQlkab,181540,4,51,2022-07,Hip-Hop/Rap
Closed Eyelids,0LUdJVozrsyz4wy5J8BcLf,spotify:track:0LUdJVozrsyz4wy5J8BcLf,Kupla,Dragonfly,spotify:album:1KAMw5q3wmmoKXOzIefqi4,0.64,0.413,10,-9.549,1,0.0687,0.817,0.844,0.148,0.376,71.985,spotify:track:0LUdJVozrsyz4wy5J8BcLf,161666,4,51,2024-10,Instrumental
Soul Survivor,12bZjnzjuJoyRslVC4BmxU,spotify:track:12bZjnzjuJoyRslVC4BmxU,Jeezy,Let's Get It: Thug Motivation 101,spotify:album:7q5LBgCP11FX8gYFVBMqi3,0.626,0.493,10,-7.728,1,0.052,0.000819,0.0,0.157,0.0793,84.028,spotify:track:12bZjnzjuJoyRslVC4BmxU,280013,4,51,2005-01,Hip-Hop/Rap
"Waltz in C-sharp minor, Op. 64 No. 2",1lOVilzLQuYY2fnFrQ76DK,spotify:track:1lOVilzLQuYY2fnFrQ76DK,Frédéric Chopin,Chopin: Works for Piano,spotify:album:263G1hP6jKqrziAfQUxjFx,0.191,0.0157,1,-36.252,0,0.0411,0.991,0.916,0.134,0.0869,72.701,spotify:track:1lOVilzLQuYY2fnFrQ76DK,199773,4,52,2012-09,Classical
The Grouch,3N5wUrnulGRc9LLSz0rQFb,spotify:track:3N5wUrnulGRc9LLSz0rQFb,Green Day,Nimrod,spotify:album:3x2uer6Xh0d5rF8toWpRDA,0.41,0.994,9,-3.485,1,0.0815,0.00168,0.000157,0.308,0.597,169.755,spotify:track:3N5wUrnulGRc9LLSz0rQFb,132080,4,51,1997-10,Rock
Hotel California - 2013 Remaster,4yS9mjJiE8dyC8EVg9vupQ,spotify:track:4yS9mjJiE8dyC8EVg9vupQ,Eagles,Legacy,spotify:album:71GVQPtwzFchmtXK3SjMKa,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,spotify:track:4yS9mjJiE8dyC8EVg9vupQ,391376,4,52,2018-11,Rock
Getting There,3Yhq999oB3jEgT0LISGBfH,spotify:track:3Yhq999oB3jEgT0LISGBfH,Riverside Underground,Getting There,spotify:album:0532hpndphPslOUIYrZ6Sw,0.271,0.0087,0,-30.799,1,0.0378,0.99,0.871,0.0665,0.0933,65.327,spotify:track:3Yhq999oB3jEgT0LISGBfH,156000,5,52,2021-05,Instrumental
"Libérée, Délivrée - De ""La Reine des Neiges""/Bande Originale Française",5pqhqSdrxLXDZY9eeCAtSJ,spotify:track:5pqhqSdrxLXDZY9eeCAtSJ,Anaïs Delva,La Reine des Neiges (Bande Originale Française du Film),spotify:album:0fd0sVVStoqKR0L5aEJjTb,0.601,0.427,8,-7.34,1,0.0328,0.783,0.0,0.134,0.298,137.004,spotify:track:5pqhqSdrxLXDZY9eeCAtSJ,224040,4,54,2013-01,Soundtrack
ENFANT DU GHETTO,0z6ine7RDKY9nYBwtloFbX,spotify:track:0z6ine7RDKY9nYBwtloFbX,Genezio,VIBESTARS : SAISON 2,spotify:album:6L8j96kQH0wsY59K4VdOAi,0.759,0.566,4,-6.678,0,0.226,0.203,0.0,0.117,0.728,116.91,spotify:track:0z6ine7RDKY9nYBwtloFbX,182609,4,54,2023-09,Hip-Hop/Rap
Right Back Where We Started From,00s8dO3RWrFkBqC9JIy6ag,spotify:track:00s8dO3RWrFkBqC9JIy6ag,Maxine Nightingale,Right Back Where We Started From,spotify:album:3YXcrd6u44J13at4UmDKEX,0.692,0.653,5,-5.715,1,0.0392,0.49,0.00707,0.455,0.901,148.018,spotify:track:00s8dO3RWrFkBqC9JIy6ag,192266,4,53,2019-06,Pop
Cold Winter,0TWcvC3jSxbCmkpqtEZSTg,spotify:track:0TWcvC3jSxbCmkpqtEZSTg,Sean & Jimbo,Cold Winter,spotify:album:3S4Sa1RaMQxAn9nDD6hfAK,0.153,0.0121,8,-32.283,1,0.0453,0.928,0.922,0.118,0.038,75.057,spotify:track:0TWcvC3jSxbCmkpqtEZSTg,160800,3,54,2020-11,Instrumental
Temporary pyar,2ZGAWiLZh2aRxp2iTL5yMS,spotify:track:2ZGAWiLZh2aRxp2iTL5yMS,Kaka,Temporary pyar,spotify:album:7bWmx7hEbu8VpQBW99LZEf,0.531,0.79,10,-7.213,1,0.234,0.281,0.0,0.301,0.339,79.942,spotify:track:2ZGAWiLZh2aRxp2iTL5yMS,245016,4,57,2021-09,Pop
Last Christmas - Pudding Mix,73OZT1XgLleDwperqGjWH4,spotify:track:73OZT1XgLleDwperqGjWH4,Wham!,LAST CHRISTMAS,spotify:album:6egzU9NKfora01qaNbvwfZ,0.735,0.501,2,-12.806,1,0.0348,0.286,0.000101,0.0855,0.817,107.938,spotify:track:73OZT1XgLleDwperqGjWH4,398466,4,58,1984-11,Christmas: Pop
